Timestamp,Time,CPU Usage (%),Memory Usage (MB),FPS,Thread Count,Scene,Tags
2025-09-12 16:20:40,2025/9/12 16:20:40,0.00,36.86,0.0,27,,
2025-09-12 16:20:41,2025/9/12 16:20:41,30.75,41.00,59.0,27,,
2025-09-12 16:20:42,2025/9/12 16:20:42,16.55,41.77,60.0,27,,
2025-09-12 16:20:43,2025/9/12 16:20:43,16.33,42.84,60.0,21,,
2025-09-12 16:20:44,2025/9/12 16:20:44,34.46,71.74,60.0,21,,
2025-09-12 16:20:45,2025/9/12 16:20:45,36.91,77.52,60.0,21,,
2025-09-12 16:20:46,2025/9/12 16:20:46,33.92,93.08,14.0,35,,
2025-09-12 16:20:47,2025/9/12 16:20:47,42.50,142.03,45.0,38,,
2025-09-12 16:20:48,2025/9/12 16:20:48,38.96,226.31,0.0,48,,
2025-09-12 16:20:49,2025/9/12 16:20:49,31.68,261.33,26.0,68,,
2025-09-12 16:20:50,2025/9/12 16:20:50,21.70,286.53,60.0,71,,
2025-09-12 16:20:51,2025/9/12 16:20:51,48.88,309.58,59.0,73,,
2025-09-12 16:20:52,2025/9/12 16:20:52,63.25,314.83,60.0,73,,
2025-09-12 16:20:53,2025/9/12 16:20:53,86.60,320.47,59.0,81,,
2025-09-12 16:20:54,2025/9/12 16:20:54,52.17,327.41,48.0,81,,
2025-09-12 16:20:55,2025/9/12 16:20:55,38.85,328.49,34.0,80,,
2025-09-12 16:20:56,2025/9/12 16:20:56,49.83,330.85,36.0,80,,